Intervention Name,References,Measurement Tools (Caregiver Outcomes),Measurement Tools (PLWD Outcomes),Intervention Setting,Provider:Client Ratio,# of Sessions,Duration (in weeks),Session Length (in hours),Source,Evidence of Impelementation (Yes/No),RCT (Yes/No),Significant CG Outcome (Yes/No),Status,Notes/Comments,Combined Outcome Categories
New York University Caregiver Intervention (NYUCI),"""Mittelman, MS; Ferris, SH; Steinberg, G; Shulman, E; Mackell, JA; Ambinder, A; Cohen, J"",""Mittelman, MS; Ferris, SH; Shulman, E; Steinberg, G; Ambinder, A; Mackell, JA; Cohen, J"",""Mittelman, MS; Ferris, SH; Shulman, E; Steinberg, G; Levin, B"",""Mittelman, MS; Roth, DL; Coon, DW; Haley, WE"",""Mittelman, MS; Roth, DL; Haley, WE; Zarit, SH"",""Mittelman, MS; Haley, WE; Clay, OJ; Roth, DL"",""Mittelman, MS; Roth, DL; Clay, OJ; Haley, WE""","""NYUCI Caregiver Questionnaire (demographics, help from family/friends, formal service utilization, behavioral symptoms inventory, ADL assistance)"",Memory and Behavior Problem Checklist (MBPC),Center for the Study of Aging and Human Development Older Americans Resources Services (OARS) Self-Rated Health Scale,Short Psychiatric Evaluation Schedule,Geriatric Depression Scale (GDS),Stokes Social Network Questionnaire,Zarit Burden Interview (22-item),Family Adaptability and Cohesion Evaluation Scales III (FACES III)","Memory and Behavior Problem Checklist (MBPC),Global Severity of Dementia,Center for the Study of Aging and Human Development Older Americans Resources Services (OARS) Self-Rated Health Scale","Community Space,Home,Hospital/Medical Center,Telephone/Web-based","1:1 interventionist-caregiver,1+:1+ interventionist(s)-family",6,16,1-1.5,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,,"Context: Caregiver Resources (perceived social support),PLWD Health: Physical,CG Health: Psychological,Institutionalization/Formal Care Utilization,CG Appraisal: Subjective Burden,PLWD Health: Psychological,CG Stressor: Disability of PLWD: Behavioral,Context: PLWD Resources (perceived social support),CG Internal Resources,CG Health: Physical,CG Coping: Positive Strategies,Relationship Quality"
Together We Can!,"""Gallagher-Thompson, D; Tzuang, M; Hinton, L; Alvarez, P; Rengifo, J; Valverde, I; Chen, N; Emrani, T; Thompson, LW""","Revised Memory and Behavior Problem Checklist (RMBPC),Center for Epidemiologic Studies - Depression (CES-D) Scale",Revised Memory and Behavior Problem Checklist (RMBPC),Telephone/Web-based,Self-guided (initial training provided),variable,variable,variable,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,,"CG Stressor: Disability of PLWD: Behavioral,PLWD Health: Psychological,CG Appraisal: Subjective Burden,CG Health: Psychological"
Aging Brain Care (Collaborative Care),"""Callahan, CM; Boustani, MA; Unverzagt, FW; Austrom, MG; Damush, TM; Perkins, AJ; Fultz, BA; Hui, SL; Counsell, SR; Hendrie, HC""","Patient Health Questionnaire - 9 (PHQ-9),Chronic Disease Score,Neuropsychiatric Inventory - Caregiver Distress (NPI-D)","Neuropsychiatric Inventory (NPI),Alzheimer's Disease Co-operative Study (ADCS) Activities of Daily Living Inventory,Alzheimer's Disease Cooperative Study Health Care Resource Use,Cornell Scale for Depression in Dementia (CSDD),Telephone Interview for Cognitive Status","Telephone/Web-based,Hospital/Medical Center",1+:2 interventionist(s)-dyad,variable,≤52,.5-1,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,,"CG Health: Psychological,PLWD Health: Physical,CG Appraisal: Subjective Burden,PLWD Health: Psychological,CG Stressor: Disability of PLWD: Functional,Institutionalization/Formal Care Utilization"
Minds in Motion,"""Burgener, SC; Marsh-Yant, S; Nega, KK"",""Burgener, SC; Yang, Y; Gilbert, R; Marsh-Yant, S""","Relatives' Stress Scale (RSS),Poulchock and Deimling (1984) Caregiving Burden Scale - Elder-Caregiver-Family Relationship sub-scale (ECFR)","Mini-Mental State Exam (MMSE),Single Leg Stance Test,Berg Balance Scale (BBS),Cumulative Illness Rating Scale (CIRS),Geriatric Depression Scale (GDS),Rosenberg Self-esteem Scale",Community Space,1+:1+ interventionist(s)-group of caregivers,variable,ongoing,1,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria," **This one is on the edge because while it meets all other criteria, for the significant caregiver outcome, only one sub-scale of a measurement tool was found to be statistically significant.","CG Appraisal: Subjective Burden,Relationship Quality,PLWD Health: Psychological,PLWD Health: Physical,CG Health: Psychological,CG Internal Resources"
Support Health Activities Resources Education (SHARE),"""Whitlatch, CJ; Heid, AR; Femia, EE; Orsulic-Jeras, S; Szabo, S; Zarit, SH""","SHARE Service Availability Measure,Bass Tausing and Noelker (1989) Dyadic Relationship Strain Scale,SHARE Care-related Agreement Scale,Emotional-Intimacy Disruptive Behavior Scale,Dementia Quality of Life Instrument (DQOL)","Preferences for Care Tasks Scale (PCTS),SHARE Service Availability Measure,Bass Tausing and Noelker (1989) Dyadic Relationship Strain Scale,Emotional-Intimacy Disruptive Behavior Scale,SHARE Care-related Agreement Scale,Dementia Quality of Life Instrument (DQOL)",Home,1+:2 interventionist(s)-dyad,6,6,2.5,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,,"Institutionalization/Formal Care Utilization,Relationship Quality,Context: Caregiver Resources (perceived social support),Quality of Life/Well-being,CG Health: Psychological,CG Internal Resources,Context: PLWD Resources (perceived social support)"
Care of Persons with Dementia in their Environments (COPE),"""Gitlin, LN; Winter, L; Dennis, MP; Hodgson, N; Hauck, WW""","Perceived Change Index (PCI),COPE Confidence Using Activities,COPE Target Problem Measure","Functional Independence Measure,Quality of Life in Alzheimer's Disease (QOL-AD),Agitated Behavior in Dementia Scale,Albert (1996) Quality of Life ","Home,Telephone/Web-based",1+:2 interventionist(s)-dyad,≤12,16,1,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,,"CG Appraisal: Satisfaction,CG Health: Psychological,Quality of Life/Well-being,PLWD Health: Psychological,CG Internal Resources,CG Appraisal: Subjective Burden,PLWD Health: Physical,CG Stressor: Disability of PLWD: Functional,CG Stressor: Disability of PLWD: Behavioral"
At the Crossroads,"""Stern, RA; D'Ambrosio, LA; Mohyde, M; Carruth, A; Tracton-Bishop, B; Hunter, JC; Daneshvar, DH; Coughlin, JF""","""Fortinsky, Kercher and Burant (2002) Self-efficacy Scale"",Brief COPE Scale,At the Crossroads Relationship Concern Measure,At the Crossroads Driving Communication Measure,At the Crossroads Awareness and Use of Driving Agreement Measure",,Community Space,1+:1+ interventionist(s)-group of caregivers,4,4,2,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,,"CG Internal Resources,CG Coping: Negative Strategies,CG Coping: Positive Strategies,Relationship Quality,Other"
Yogic Meditation,"""Lavretsky, H; Epel, ES; Siddarth, P; Nazarian, N; Cyr, NS; Khalsa, DS; Lin, J; Blackburn, E; Irwin, MR""","Medical Outcomes Study Short Form 36 (MOS SF-36),Hamilton Depression Rating Scale (HDRS),Mini-Mental State Exam (MMSE),California Verbal Learning Test II,Trail Making Tests A and B,Telomerase Activity,Cumulative Illness Rating Scale (CIRS)",,Home,Self-guided (initial training provided),56,8,.25,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,,"CG Health: Psychological,CG Health: Physical,PLWD Health: Psychological,CG Appraisal: Objective Burden,PLWD Health: Physical"
Active Caregiving: Empowering Skills (ACES),"""Gallagher-Thompson, D; Lovett, S; Rose, J; McKibbin, C; Coon, D; Futterman, A; Thompson, LW""","Schedule for Affective Disorders and Schizophrenia (SADS) +Research Diagnostic Criteria (RDC) ,Health and Daily Living Questionnaire - Indices of Coping ,Caregiver Task Checklist (CTCL),Perceived Stress Scale (PSS)",,Community Space,1+:1+ interventionist(s)-group of caregivers,10,10,2,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,,"CG Health: Psychological,CG Coping: Negative Strategies,CG Coping: Positive Strategies,CG Appraisal: Subjective Burden,CG Appraisal: Objective Burden"
Mindfulness-Based Dementia Care,"""Whitebird, RR; Kreitzer, M; Crain, AL; Lewis, BA; Hanson, LR; Enstad, CJ""","Perceived Stress Scale (PSS),Center for Epidemiologic Studies - Depression (CES-D) Scale,Spielberger State-Trait Anxiety Inventory ,Short Form 12 (SF-12) v.1/SF-12v2TM ©,Montgomery Borgatta Caregiver Burden Scale,Medical Outcomes Study (MOS) Social Support Survey,Center for Epidemiologic Studies - Depression (CES-D) 10-item",,Community Space,1+:1+ interventionist(s)-group of caregivers,8,8,2.5,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,,"CG Health: Psychological,PLWD Health: Psychological,CG Health: Physical,CG Appraisal: Subjective Burden,CG Appraisal: Objective Burden,Context: Caregiver Resources (perceived social support)"
Benjamin Rose Institute Care Consultation,"""Bass, DM; Clark, PA; Looman, WJ; McCarthy, CA; Eckert, S"",""Clark, PA; Bass, DM; Looman, WJ; McCarthy, CA; Eckert, S""","Center for Epidemiologic Studies - Depression (CES-D) Scale,""Bass, McClendon, Deimling, Mukherjee (1994) Relationship Strain Scale"",""Role Captivity Scale (Pearlin, 1990)"",""Bass, Noelker and Rechlin (1996) Emotional Health Strain"",Center for Epidemiologic Studies - Depression (CES-D) 10-item","BRI Care Consultation Embarrassment and Isolation Due to Memory Problems,BRI Care Consultation Coping with Memory Problems,BRI Care Consultation Community Resource Utilization Measure,BRI Care Consultation Healthcare Resource Utilization Measure,Blessed Orientation-Memory-Concentration Test,Center for Epidemiologic Studies - Depression (CES-D) Scale,""Bass, McClendon, Deimling, Mukherjee (1994) Relationship Strain Scale""",Telephone/Web-based,1:1 interventionist-caregiver,variable,ongoing,variable,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,"** Partners in Dementia Care is a revised program based on this original program and tested with a new sample, however because it is based off of a new sample and therefore is excluded ","CG Health: Psychological,PLWD Health: Psychological,Relationship Quality,CG Appraisal: Subjective Burden,PLWD Coping: Negative Strategies,Context: PLWD Resources (perceived social support),PLWD Coping: Positive Strategies,Institutionalization/Formal Care Utilization"
Care Ecosystem,"""Possin, KL; Merrilees, JJ; Dulaney, S; Bonasera, SJ; Chiong, W; Lee, K; Hooper, SM; Allen, IE; Braley, T; Bernstein, A; Rosa, TD; Harrison, K; Begert-Hellings, H; Kornak, J; Kahn, JG; Naasan, G; Lanata, S; Clark, AM; Chodos, A; Gearhart, R; Ritchie, C; Miller, BL""","Care Ecosystem Self-efficacy Scale,Patient Health Questionnaire - 9 (PHQ-9),Zarit Burden Interview Short Form (12-item)","Quality of Life in Alzheimer's Disease (QOL-AD),Care Ecosystem Healthcare Utilization Measure",Telephone/Web-based,1+:2 interventionist(s)-dyad,12,12,variable,Expert Recommendation,yes,yes,yes,Unique + Meet all Criteria,See website for more information on implementation https://memory.ucsf.edu/research-trials/professional/care-ecosystem ,"CG Internal Resources,CG Health: Psychological,CG Appraisal: Subjective Burden,Quality of Life/Well-being,CG Stressor: Disability of PLWD: Behavioral,CG Stressor: Disability of PLWD: Functional,PLWD Health: Psychological,Institutionalization/Formal Care Utilization"
Further Enabling Care at Home (FECH),"""Toye, C; Parsons, R; Slatyer, S; Aoun, SM; Moorin, R; Osseiran-Moisson, R; Hill, KD""","Family Care Inventory (Preparedness for Caregiving Scale) ,Family Appraisal of Caregiving-Palliative Care,Short Form 12 (SF-12) v.1/SF-12v2TM ©,Connor-Davidson Resilience Scale (CD-RISC)","Symptom Assessment Scale,Barthel Activities of Daily Living Index",Telephone/Web-based,1:1 interventionist-caregiver,3,2,variable,Hodgson and Gitlin Table,yes,yes,yes,Unique + Meet all Criteria,Hodgson and Gitlin table = published implementation,"CG Internal Resources,CG Appraisal: Subjective Burden,CG Appraisal: Satisfaction,Context: Caregiver Resources (perceived social support),CG Health: Psychological,CG Health: Physical,CG Coping: Positive Strategies,CG Coping: Negative Strategies,PLWD Health: Psychological,PLWD Health: Physical,CG Stressor: Disability of PLWD: Functional"
Community Occupational Therapy for persons with dementia (COTiD),"""Graff, MJL; Vernooij-Dassen, MJM; Thijssen, M; Dekker, J; Hoefnagels, WHL; Olderikkert, MGM"",""Graff, MJL; Vernooij-Dassen, MJM; Thijssen, M; Dekker, J; Hoefnagels, WHL; Rikkert, MGMO""","Dementia Quality of Life Instrument (DQOL),General Health Questionnaire-12 (GHQ-12),Center for Epidemiologic Studies - Depression (CES-D) Scale,Sense of Competence Questionnaire (SCQ),""Smits, Deeg and Bosscher (1995) Mastery Scale""","Dementia Quality of Life Instrument (DQOL),General Health Questionnaire-12 (GHQ-12),Cornell Scale for Depression in Dementia (CSDD),Cumulative Illness Rating Scale for Geriatrics (CIRS-G),Geriatric Depression Scale (GDS),Mini-Mental State Exam (MMSE),Revised Memory and Behavior Problem Checklist (RMBPC),Assessment of Motor and Process Skills (AMPS)",Home,1+:2 interventionist(s)-dyad,10,5,1,Hodgson and Gitlin Table,yes,yes,yes,Unique + Meet all Criteria,Hodgson and Gitlin table = published implementation,"Quality of Life/Well-being,CG Health: Psychological,CG Internal Resources,Context: Caregiver Resources (perceived social support),PLWD Health: Psychological,CG Appraisal: Subjective Burden,Relationship Quality,CG Appraisal: Satisfaction,CG Coping: Positive Strategies,PLWD Health: Physical,CG Stressor: Disability of PLWD: Behavioral,CG Stressor: Disability of PLWD: Functional"
REACH II (Resources for Enhancing Alzheimer's Caregivers Health),"""Belle, SH; Burgio, L; Burns, R; Coon, D; Czaja, S; Gallagher-Thompson, D; Gitlin, LN; Klinger, J; Koepke, KM; Lee, C; Martindale-Adams, J; Nichols, L; Schulz, R; Stahl, S; Stevens, A; Winter, L; Zhang, S"",""Elliott, AF; Burgio, LD; Decoster, J""","REACH II Caregiver Self-rated Physical and Emotional Health Questions,REACH II Self-care Questionnaire ,REACH II Social Support Questionnaire,Revised Memory and Behavior Problem Checklist (RMBPC),Caregiver Assessment of Function and Upset Scale (CAFU),Center for Epidemiologic Studies - Depression (CES-D) 10-item,Zarit Burden Interview Short Form (12-item)","REACH II Measure of LTC Placement,Revised Memory and Behavior Problem Checklist (RMBPC)","Home,Telephone/Web-based","1:1 interventionist-caregiver,1+:1+ interventionist(s)-group of caregivers",17,26,.5-1.5,Feinberg AARP Policy Paper,yes,yes,yes,Unique + Meet all Criteria,,"CG Health: Physical,CG Health: Psychological,CG Coping: Positive Strategies,Context: Caregiver Resources (perceived social support),CG Stressor: Disability of PLWD: Behavioral,PLWD Health: Psychological,CG Appraisal: Subjective Burden,CG Stressor: Disability of PLWD: Functional,Institutionalization/Formal Care Utilization"
